,Method,Number of items,Mean,Median,Min,Max,Variance
0,dynamic_programming,4,0.00019701321919759115,0.00018787384033203125,0.00018405914306640625,0.00021910667419433594,2.464856960513215e-10
1,branch_and_bound,4,0.017942269643147785,0.016450881958007812,0.01493978500366211,0.022436141967773438,1.0478013235923652e-05
2,greedy_algorithm,4,1.4940897623697916e-05,1.3828277587890625e-05,9.775161743164062e-06,2.1219253540039062e-05,2.244683451459019e-11
3,genetic_algorithm,4,0.04103732109069824,0.02651691436767578,0.013479948043823242,0.0831151008605957,0.0009135968570035402
4,dynamic_programming,4,7.843971252441406e-05,7.128715515136719e-05,7.104873657226562e-05,9.298324584960938e-05,1.0576665469367678e-10
5,branch_and_bound,4,0.017866134643554688,0.017796993255615234,0.017534255981445312,0.018267154693603516,9.191368614362243e-08
6,greedy_algorithm,4,2.2331873575846355e-05,7.867813110351562e-06,5.9604644775390625e-06,5.316734313964844e-05,4.760194214112642e-10
7,genetic_algorithm,4,0.0511933167775472,0.0489351749420166,0.01552581787109375,0.08911895751953125,0.0009052079694937574
8,dynamic_programming,5,0.0006093184153238932,0.0005240440368652344,0.0005049705505371094,0.0007989406585693359,1.8038930546835118e-08
9,branch_and_bound,5,0.006433725357055664,0.006503105163574219,0.005694150924682617,0.007103919982910156,3.3364824503223645e-07
10,greedy_algorithm,5,1.4146169026692709e-05,1.2159347534179688e-05,8.106231689453125e-06,2.2172927856445312e-05,3.495238666396796e-11
11,genetic_algorithm,5,0.04351329803466797,0.029966115951538086,0.01933002471923828,0.08124375343322754,0.0007306480384083139
12,dynamic_programming,7,0.0004516442616780599,0.0004391670227050781,0.0004138946533203125,0.0005018711090087891,1.3678168721121942e-09
13,branch_and_bound,7,0.015038092931111654,0.015048027038574219,0.014740943908691406,0.015325307846069336,5.696287846351172e-08
14,greedy_algorithm,7,1.5894571940104168e-05,8.821487426757812e-06,6.9141387939453125e-06,3.1948089599609375e-05,1.2946404442320475e-10
15,genetic_algorithm,7,0.04456313451131185,0.04577994346618652,0.011849164962768555,0.07606029510498047,0.0006879185177063441
16,dynamic_programming,10,0.0034204324086507163,0.003329038619995117,0.0033011436462402344,0.003631114959716797,2.2323256921986793e-08
17,branch_and_bound,10,0.04625701904296875,0.0465540885925293,0.045497894287109375,0.04671907424926758,2.9267190863417153e-07
18,greedy_algorithm,10,1.2715657552083334e-05,1.0013580322265625e-05,9.059906005859375e-06,1.9073486328125e-05,2.0362575823027224e-11
19,genetic_algorithm,10,0.07065288225809734,0.07416486740112305,0.04085993766784668,0.09693384170532227,0.0005302141388230868
20,dynamic_programming,10,0.0007056395212809244,0.0007071495056152344,0.0006849765777587891,0.00072479248046875,2.653577111131098e-10
21,branch_and_bound,10,0.05502589543660482,0.05495095252990723,0.054489850997924805,0.05563688278198242,2.2208853857187532e-07
22,greedy_algorithm,10,1.2318293253580729e-05,1.1205673217773438e-05,8.821487426757812e-06,1.6927719116210938e-05,1.1570793705888921e-11
23,genetic_algorithm,10,0.1305990219116211,0.10906410217285156,0.0689249038696289,0.2138080596923828,0.003730397857604354
24,dynamic_programming,20,0.02444767951965332,0.024644136428833008,0.024025917053222656,0.024672985076904297,8.908049646076203e-08
25,branch_and_bound,20,0.10357157389322917,0.10349178314208984,0.10288000106811523,0.10434293746948242,3.598804343912181e-07
26,greedy_algorithm,20,2.2331873575846355e-05,2.5033950805664062e-05,1.621246337890625e-05,2.574920654296875e-05,1.8808855707498476e-11
27,genetic_algorithm,20,1 seconds have passed!,-,-,-,-
28,dynamic_programming,20,0.024185975392659504,0.023913860321044922,0.023720264434814453,0.02492380142211914,2.784401860683122e-07
29,branch_and_bound,20,0.09619744618733723,0.09617304801940918,0.09554624557495117,0.09687304496765137,2.936970733773907e-07
30,greedy_algorithm,20,1.9073486328125e-05,1.71661376953125e-05,1.4066696166992188e-05,2.5987625122070312e-05,2.5503747262215864e-11
31,genetic_algorithm,20,1 seconds have passed!,-,-,-,-
32,dynamic_programming,23,0.27569031715393066,0.2769489288330078,0.2689201831817627,0.2812018394470215,2.5931898449016444e-05
33,branch_and_bound,23,1 seconds have passed!,-,-,-,-
34,greedy_algorithm,23,1.8835067749023438e-05,1.6927719116210938e-05,1.3589859008789062e-05,2.5987625122070312e-05,2.7436423503483336e-11
35,genetic_algorithm,23,1 seconds have passed!,-,-,-,-
36,dynamic_programming,100,0.08101844787597656,0.07997727394104004,0.07860493659973145,0.0844731330871582,6.281309917236892e-06
37,branch_and_bound,100,1 seconds have passed!,-,-,-,-
38,greedy_algorithm,100,7.756551106770833e-05,7.772445678710938e-05,7.295608520507812e-05,8.20159912109375e-05,1.3692948010025753e-11
39,genetic_algorithm,100,1 seconds have passed!,-,-,-,-
